location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,Deaths,DALYs (Disability-Adjusted Life Years)
525,Arizona,3,Both,8,15 to 19,689,Road injuries,1,Number,2017,65.50358085859285,4841.956053586482
525,Arizona,3,Both,8,15 to 19,689,Road injuries,3,Rate,2017,13.22933971707455,977.8989284009242
525,Arizona,3,Both,9,20 to 24,689,Road injuries,1,Number,2017,91.14569362943682,6424.416047933388
525,Arizona,3,Both,9,20 to 24,689,Road injuries,3,Rate,2017,18.454759365015278,1300.786109625505
525,Arizona,3,Both,41,50 to 74 years,689,Road injuries,1,Number,2017,346.7588473937854,17113.05702485456
525,Arizona,3,Both,41,50 to 74 years,689,Road injuries,3,Rate,2017,17.48523980590929,466.82018908223773
525,Arizona,3,Both,206,25 to 49,689,Road injuries,1,Number,2017,341.76494777874086,21933.96809995801
525,Arizona,3,Both,206,25 to 49,689,Road injuries,3,Rate,2017,15.067799158399836,967.0290304050701
525,Arizona,3,Both,234,75 plus,689,Road injuries,1,Number,2017,113.19369648692029,3367.7803169222884
525,Arizona,3,Both,234,75 plus,689,Road injuries,3,Rate,2017,23.684189340599346,448.0951763083051
573,Wyoming,3,Both,8,15 to 19,689,Road injuries,1,Number,2016,8.342560856916053,608.9092116772089
573,Wyoming,3,Both,8,15 to 19,689,Road injuries,3,Rate,2016,22.062203661238723,1610.2824144327503
573,Wyoming,3,Both,9,20 to 24,689,Road injuries,1,Number,2016,11.519101037487184,796.3763670863711
573,Wyoming,3,Both,9,20 to 24,689,Road injuries,3,Rate,2016,30.934559997400537,2138.669712851079
573,Wyoming,3,Both,41,50 to 74 years,689,Road injuries,1,Number,2016,31.005069545955294,1556.8406185103972
573,Wyoming,3,Both,41,50 to 74 years,689,Road injuries,3,Rate,2016,17.749344307392203,474.43038122797867
573,Wyoming,3,Both,206,25 to 49,689,Road injuries,1,Number,2016,42.92333754425533,2675.2648871610827
573,Wyoming,3,Both,206,25 to 49,689,Road injuries,3,Rate,2016,22.332195554699894,1391.889401869203
573,Wyoming,3,Both,234,75 plus,689,Road injuries,1,Number,2016,11.227559901518143,282.5879478221083
573,Wyoming,3,Both,234,75 plus,689,Road injuries,3,Rate,2016,32.20551415132201,512.5250975109603
523,Alabama,3,Both,8,15 to 19,689,Road injuries,1,Number,2017,93.25567691674304,6772.550502627357
523,Alabama,3,Both,8,15 to 19,689,Road injuries,3,Rate,2017,27.688584853009964,2010.8410068237445
523,Alabama,3,Both,9,20 to 24,689,Road injuries,1,Number,2017,112.2695738986954,7728.744359706848
523,Alabama,3,Both,9,20 to 24,689,Road injuries,3,Rate,2017,33.68891456297213,2319.1769539284114
523,Alabama,3,Both,41,50 to 74 years,689,Road injuries,1,Number,2017,347.8558559521143,15253.042601101753
523,Alabama,3,Both,41,50 to 74 years,689,Road injuries,3,Rate,2017,23.92347674691814,563.8416561407726
523,Alabama,3,Both,206,25 to 49,689,Road injuries,1,Number,2017,422.90763336122103,25147.162634563632
523,Alabama,3,Both,206,25 to 49,689,Road injuries,3,Rate,2017,26.741950798878985,1590.144355068937
523,Alabama,3,Both,234,75 plus,689,Road injuries,1,Number,2017,105.25467956780338,2567.5984336971005
523,Alabama,3,Both,234,75 plus,689,Road injuries,3,Rate,2017,32.73338069571894,509.8633620283183
539,Kansas,3,Both,8,15 to 19,689,Road injuries,1,Number,2017,33.990693586114965,2497.7002380202202
539,Kansas,3,Both,8,15 to 19,689,Road injuries,3,Rate,2017,16.40805101958165,1205.694518507801
539,Kansas,3,Both,9,20 to 24,689,Road injuries,1,Number,2017,45.6954211724152,3186.185501020925
539,Kansas,3,Both,9,20 to 24,689,Road injuries,3,Rate,2017,23.054067676580804,1607.4813249564468
539,Kansas,3,Both,41,50 to 74 years,689,Road injuries,1,Number,2017,135.675999575096,6648.038135892043
539,Kansas,3,Both,41,50 to 74 years,689,Road injuries,3,Rate,2017,16.635212447079155,436.1048707093892
539,Kansas,3,Both,206,25 to 49,689,Road injuries,1,Number,2017,146.25997137141923,9421.205808458688
539,Kansas,3,Both,206,25 to 49,689,Road injuries,3,Rate,2017,15.762882613027038,1015.3520463557406
539,Kansas,3,Both,234,75 plus,689,Road injuries,1,Number,2017,55.96994743700054,1407.5237984637008
539,Kansas,3,Both,234,75 plus,689,Road injuries,3,Rate,2017,29.327575073403544,457.533402764822
528,Colorado,3,Both,41,50 to 74 years,689,Road injuries,1,Number,2017,207.07320053463246,11060.513199577748
528,Colorado,3,Both,41,50 to 74 years,689,Road injuries,3,Rate,2017,13.688957130870971,390.63558383781884
528,Colorado,3,Both,206,25 to 49,689,Road injuries,1,Number,2017,233.8714421191724,15507.697348233449
528,Colorado,3,Both,206,25 to 49,689,Road injuries,3,Rate,2017,12.86750401193229,853.2266959834483
528,Colorado,3,Both,234,75 plus,689,Road injuries,1,Number,2017,70.12184398369544,1989.8823231412518
528,Colorado,3,Both,234,75 plus,689,Road injuries,3,Rate,2017,24.44570322839387,441.6885015284876
542,Maine,3,Both,8,15 to 19,689,Road injuries,1,Number,2016,14.436269702390112,1058.8029895010384
542,Maine,3,Both,8,15 to 19,689,Road injuries,3,Rate,2016,17.85149857617176,1309.2869868172957
542,Maine,3,Both,9,20 to 24,689,Road injuries,1,Number,2016,18.660854254965194,1298.6578358830332
542,Maine,3,Both,9,20 to 24,689,Road injuries,3,Rate,2016,23.95313065618453,1666.9612438727104
542,Maine,3,Both,41,50 to 74 years,689,Road injuries,1,Number,2016,58.57099368469391,3164.7986990328377
542,Maine,3,Both,41,50 to 74 years,689,Road injuries,3,Rate,2016,12.477126257805503,360.52304022556376
542,Maine,3,Both,206,25 to 49,689,Road injuries,1,Number,2016,57.083929637479,3753.250893724799
542,Maine,3,Both,206,25 to 49,689,Road injuries,3,Rate,2016,14.16166380602276,931.1250587361019
542,Maine,3,Both,234,75 plus,689,Road injuries,1,Number,2016,27.815076006110566,703.3686437145986
542,Maine,3,Both,234,75 plus,689,Road injuries,3,Rate,2016,26.71147893237453,422.84465355699575
525,Arizona,3,Both,8,15 to 19,689,Road injuries,1,Number,2016,58.31074358478149,4327.021260218408
